time;x;y;z;gforce
14:10:30:484;-0.923;-0.066;-0.321;0.979
14:10:30:486;-0.923;-0.082;-0.321;0.980
14:10:30:487;-0.930;-0.086;-0.321;0.988
14:10:30:488;-0.923;-0.082;-0.336;0.985
14:10:30:490;-0.919;-0.074;-0.328;0.978
14:10:30:491;-0.926;-0.082;-0.324;0.985
14:10:30:493;-0.926;-0.098;-0.317;0.984
14:10:30:494;-0.934;-0.106;-0.324;0.995
14:10:30:497;-0.946;-0.094;-0.336;1.008
14:10:30:501;-0.954;-0.082;-0.328;1.012
14:10:30:506;-0.946;-0.082;-0.313;1.000
14:10:30:526;-0.954;-0.078;-0.266;0.993
14:10:30:536;-0.950;-0.078;-0.254;0.986
14:10:30:556;-0.926;-0.070;-0.278;0.970
14:10:30:576;-0.934;-0.078;-0.281;0.979
14:10:30:586;-0.946;-0.102;-0.297;0.997
14:10:30:606;-0.934;-0.106;-0.340;1.000
14:10:30:617;-0.911;-0.086;-0.348;0.979
14:10:30:636;-0.895;-0.078;-0.352;0.965
14:10:30:646;-0.891;-0.074;-0.367;0.967
14:10:30:667;-0.903;-0.074;-0.348;0.971
14:10:30:677;-0.923;-0.082;-0.328;0.983
14:10:30:697;-0.926;-0.090;-0.324;0.986
14:10:30:710;-0.926;-0.098;-0.317;0.984
14:10:30:727;-0.930;-0.109;-0.309;0.986
14:10:30:747;-0.938;-0.106;-0.317;0.996
14:10:30:761;-0.942;-0.086;-0.328;1.001
14:10:30:782;-0.946;-0.066;-0.317;1.000
14:10:30:787;-0.946;-0.063;-0.301;0.995
14:10:30:807;-0.954;-0.078;-0.285;0.999
14:10:30:843;-0.958;-0.082;-0.281;1.002
14:10:30:847;-0.942;-0.086;-0.274;0.985
14:10:30:861;-0.946;-0.094;-0.254;0.984
14:10:30:868;-0.934;-0.094;-0.305;0.987
14:10:30:888;-0.919;-0.090;-0.348;0.986
14:10:30:901;-0.915;-0.086;-0.336;0.978
14:10:30:917;-0.919;-0.086;-0.328;0.979
14:10:30:937;-0.923;-0.078;-0.317;0.978
14:10:30:947;-0.930;-0.078;-0.309;0.983
14:10:30:967;-0.926;-0.082;-0.305;0.979
14:10:30:976;-0.915;-0.094;-0.328;0.976
14:10:30:997;-0.899;-0.113;-0.356;0.973
14:10:31:7;-0.907;-0.117;-0.375;0.988
14:10:31:27;-0.923;-0.094;-0.371;0.999
14:10:31:47;-0.915;-0.078;-0.379;0.993
14:10:31:58;-0.883;-0.074;-0.375;0.963
14:10:31:77;-0.872;-0.094;-0.352;0.945
14:10:31:87;-0.895;-0.117;-0.340;0.965
14:10:31:111;-0.934;-0.113;-0.340;1.001
14:10:31:122;-0.973;-0.098;-0.328;1.032
14:10:31:141;-1.016;-0.090;-0.278;1.057
14:10:31:161;-1.044;-0.090;-0.215;1.069
14:10:31:168;-1.032;-0.090;-0.188;1.053
14:10:31:188;-0.989;-0.102;-0.207;1.016
14:10:31:201;-0.950;-0.113;-0.254;0.990
14:10:31:222;-0.915;-0.098;-0.293;0.965
14:10:31:228;-0.887;-0.063;-0.317;0.944
14:10:31:247;-0.876;-0.027;-0.336;0.938
14:10:31:264;-0.880;-0.020;-0.344;0.945
14:10:31:281;-0.891;-0.031;-0.356;0.960
14:10:31:298;-0.899;-0.051;-0.364;0.971
14:10:31:307;-0.911;-0.078;-0.356;0.981
14:10:31:327;-0.923;-0.094;-0.340;0.988
14:10:31:341;-0.919;-0.102;-0.332;0.982
14:10:31:361;-0.907;-0.098;-0.328;0.969
14:10:31:368;-0.899;-0.098;-0.313;0.957
14:10:31:388;-0.895;-0.098;-0.301;0.949
14:10:31:408;-0.891;-0.094;-0.317;0.950
14:10:31:422;-0.903;-0.070;-0.328;0.963
14:10:31:441;-0.930;-0.051;-0.324;0.987
14:10:31:447;-0.958;-0.023;-0.317;1.009
14:10:31:468;-0.969;0.000;-0.309;1.017
14:10:31:481;-0.958;0.000;-0.305;1.005
14:10:31:501;-0.934;-0.016;-0.309;0.984
14:10:31:525;-0.926;-0.035;-0.313;0.978
14:10:31:529;-0.934;-0.043;-0.309;0.985
14:10:31:547;-0.958;-0.043;-0.301;1.005
14:10:31:558;-0.973;-0.043;-0.285;1.015
14:10:31:581;-0.965;-0.047;-0.278;1.006
14:10:31:589;-0.954;-0.063;-0.281;0.996
14:10:31:608;-0.946;-0.078;-0.285;0.991
14:10:31:627;-0.946;-0.090;-0.285;0.992
14:10:31:641;-0.954;-0.090;-0.281;0.998
14:10:31:662;-0.958;-0.090;-0.289;1.004
14:10:31:668;-0.958;-0.086;-0.289;1.004
14:10:31:689;-0.946;-0.082;-0.281;0.990
14:10:31:701;-0.930;-0.078;-0.285;0.976
14:10:31:722;-0.923;-0.070;-0.285;0.968
14:10:31:741;-0.934;-0.066;-0.289;0.980
14:10:31:747;-0.950;-0.066;-0.285;0.994
14:10:31:768;-0.954;-0.070;-0.281;0.997
14:10:31:784;-0.950;-0.082;-0.270;0.991
14:10:31:801;-0.950;-0.094;-0.262;0.990
14:10:31:807;-0.946;-0.094;-0.266;0.987
14:10:31:827;-0.946;-0.086;-0.278;0.990
14:10:31:841;-0.942;-0.074;-0.289;0.988
14:10:32:69;-0.938;-0.066;-0.289;0.984
14:10:32:71;-0.934;-0.066;-0.289;0.980
14:10:32:72;-0.938;-0.070;-0.278;0.981
14:10:32:74;-0.938;-0.066;-0.274;0.979
14:10:32:83;-0.938;-0.063;-0.274;0.979
14:10:32:84;-0.942;-0.066;-0.274;0.983
14:10:32:86;-0.950;-0.082;-0.270;0.991
14:10:32:88;-0.946;-0.086;-0.262;0.985
14:10:32:89;-0.938;-0.086;-0.274;0.981
14:10:32:90;-0.938;-0.074;-0.274;0.980
14:10:32:93;-0.946;-0.070;-0.270;0.986
14:10:32:94;-0.950;-0.070;-0.266;0.989
14:10:32:96;-0.946;-0.074;-0.270;0.986
14:10:32:99;-0.942;-0.074;-0.266;0.982
14:10:32:101;-0.942;-0.078;-0.270;0.983
14:10:32:102;-0.942;-0.074;-0.270;0.983
14:10:32:106;-0.946;-0.074;-0.270;0.986
14:10:32:126;-0.946;-0.070;-0.278;0.988
14:10:32:136;-0.950;-0.066;-0.278;0.992
14:10:32:163;-0.950;-0.063;-0.274;0.990
14:10:32:169;-0.946;-0.059;-0.274;0.986
14:10:32:188;-0.950;-0.063;-0.270;0.989
14:10:32:208;-0.950;-0.066;-0.270;0.990
14:10:32:222;-0.950;-0.066;-0.278;0.992
14:10:32:237;-0.946;-0.059;-0.278;0.988
14:10:32:248;-0.946;-0.055;-0.281;0.988
14:10:32:268;-0.946;-0.055;-0.278;0.987
14:10:32:284;-0.946;-0.055;-0.270;0.985
14:10:32:301;-0.946;-0.051;-0.266;0.984
14:10:32:322;-0.942;-0.043;-0.274;0.982
14:10:32:328;-0.946;-0.031;-0.281;0.987
14:10:32:350;-0.954;-0.016;-0.281;0.995
14:10:32:368;-0.973;-0.012;-0.266;1.009
14:10:32:381;-0.993;-0.031;-0.242;1.022
14:10:32:388;-1.016;-0.070;-0.219;1.042
14:10:32:410;-1.028;-0.117;-0.207;1.055
14:10:32:428;-0.989;-0.160;-0.219;1.025
14:10:32:436;-0.923;-0.168;-0.238;0.968
14:10:32:457;-0.872;-0.176;-0.262;0.927
14:10:32:467;-0.856;-0.188;-0.231;0.906
14:10:32:486;-0.872;-0.242;-0.219;0.931
14:10:32:496;-1.075;-0.047;-0.254;1.106
14:10:32:522;-1.153;0.203;-0.309;1.211
14:10:32:528;-1.067;0.016;-0.250;1.096
14:10:32:547;-0.817;-0.176;-0.207;0.861
14:10:32:568;-0.739;-0.199;-0.270;0.811
14:10:32:578;-0.778;-0.176;-0.274;0.843
14:10:32:601;-0.876;-0.133;-0.278;0.928
14:10:32:607;-0.958;-0.094;-0.262;0.997
14:10:32:628;-1.012;-0.078;-0.227;1.040
14:10:32:641;-1.016;-0.098;-0.223;1.045
14:10:32:661;-0.985;-0.125;-0.235;1.020
14:10:32:681;-0.942;-0.125;-0.246;0.982
14:10:32:687;-0.899;-0.109;-0.250;0.940
14:10:32:707;-0.887;-0.086;-0.250;0.926
14:10:32:722;-0.915;-0.063;-0.258;0.952
14:10:32:741;-0.954;-0.059;-0.250;0.988
14:10:32:747;-0.962;-0.074;-0.235;0.993
14:10:32:768;-0.946;-0.098;-0.207;0.973
14:10:32:787;-0.915;-0.106;-0.156;0.934
14:10:32:804;-0.872;-0.113;-0.074;0.882
14:10:32:822;-0.813;-0.141;-0.020;0.825
14:10:32:827;-0.747;-0.199;-0.004;0.773
14:10:32:847;-0.684;-0.250;-0.023;0.729
14:10:32:861;-0.653;-0.266;-0.074;0.709
14:10:32:881;-0.645;-0.203;-0.180;0.700
14:10:32:901;-0.680;-0.094;-0.285;0.744
14:10:32:907;-0.747;0.027;-0.344;0.822
14:10:32:927;-0.837;0.125;-0.336;0.910
14:10:32:941;-0.934;0.199;-0.352;1.018
14:10:32:961;-1.024;0.227;-0.391;1.119
14:10:32:968;-1.200;0.149;-0.418;1.279
14:10:32:987;-1.501;0.016;-0.504;1.584
14:10:33:1;-1.794;-0.102;-0.524;1.872
14:10:33:22;-1.853;-0.129;-0.434;1.907
14:10:33:41;-1.618;-0.121;-0.383;1.667
14:10:33:48;-1.317;-0.102;-0.387;1.377
14:10:33:68;-1.075;-0.094;-0.387;1.146
14:10:33:81;-0.942;-0.098;-0.324;1.001
14:10:33:99;-0.891;-0.098;-0.258;0.933
14:10:33:108;-0.880;-0.074;-0.188;0.902
14:10:33:128;-0.860;-0.055;-0.145;0.874
14:10:33:148;-0.829;-0.063;-0.137;0.842
14:10:33:161;-0.794;-0.102;-0.160;0.816
14:10:33:177;-0.758;-0.149;-0.172;0.792
14:10:33:186;-0.727;-0.203;-0.176;0.775
14:10:33:207;-0.719;-0.266;-0.207;0.794
14:10:33:217;-0.751;-0.321;-0.235;0.849
14:10:33:237;-0.790;-0.324;-0.266;0.894
14:10:33:263;-0.860;-0.305;-0.254;0.947
14:10:33:269;-0.938;-0.274;-0.195;0.997
14:10:33:287;-0.965;-0.235;-0.141;1.003
14:10:33:304;-0.926;-0.176;-0.152;0.955
14:10:33:322;-0.837;-0.086;-0.164;0.857
14:10:33:328;-0.715;-0.020;-0.109;0.724
14:10:33:348;-0.602;0.023;-0.055;0.605
14:10:33:368;-0.496;0.039;-0.059;0.501
14:10:33:381;-0.403;0.004;-0.090;0.413
14:10:33:401;-0.371;-0.063;-0.133;0.399
14:10:33:407;-0.465;-0.180;-0.164;0.525
14:10:33:642;-0.649;-0.305;-0.192;0.742
14:10:33:643;-0.891;-0.426;-0.231;1.014
14:10:33:645;-1.231;-0.465;-0.336;1.358
14:10:33:650;-1.634;-0.360;-0.434;1.728
14:10:33:654;-1.904;-0.172;-0.500;1.976
14:10:33:657;-1.810;-0.172;-0.426;1.867
14:10:33:662;-1.462;-0.450;-0.301;1.559
14:10:33:664;-1.227;-0.606;-0.254;1.392
14:10:33:669;-1.188;-0.532;-0.242;1.324
14:10:33:672;-1.243;-0.344;-0.274;1.318
14:10:33:677;-1.227;-0.199;-0.262;1.271
14:10:33:680;-1.114;-0.106;-0.211;1.139
14:10:33:683;-0.954;-0.066;-0.168;0.971
14:10:33:685;-0.797;-0.059;-0.137;0.811
14:10:33:687;-0.657;-0.066;-0.141;0.675
14:10:33:689;-0.563;-0.086;-0.117;0.581
14:10:33:690;-0.536;-0.086;-0.070;0.547
14:10:33:692;-0.559;-0.078;-0.043;0.566
14:10:33:706;-0.657;-0.082;-0.070;0.666
14:10:33:726;-0.821;-0.098;-0.086;0.831
14:10:33:737;-0.997;-0.121;-0.063;1.006
14:10:33:750;-1.122;-0.121;-0.055;1.130
14:10:33:769;-1.134;-0.109;-0.020;1.139
14:10:33:790;-1.024;-0.098;0.055;1.030
14:10:33:801;-0.837;-0.145;0.082;0.853
14:10:33:824;-0.622;-0.250;0.035;0.671
14:10:33:841;-0.407;-0.371;-0.031;0.551
14:10:33:847;-0.211;-0.465;-0.168;0.538
14:10:33:868;-0.156;-0.426;-0.231;0.509
14:10:33:881;-0.258;-0.278;-0.102;0.392
14:10:33:901;-0.403;-0.086;-0.004;0.412
14:10:33:908;-0.563;0.078;-0.051;0.571
14:10:33:927;-0.856;0.188;-0.125;0.885
14:10:33:947;-1.306;0.223;-0.117;1.330
14:10:33:961;-1.689;0.215;-0.203;1.714
14:10:33:981;-1.923;0.176;-0.356;1.964
14:10:33:989;-2.001;0.164;-0.418;2.051
14:10:34:29;-2.001;0.176;-0.418;2.052
14:10:34:32;-2.001;0.160;-0.367;2.041
14:10:34:47;-1.915;0.063;-0.360;1.950
14:10:34:84;-1.704;-0.055;-0.375;1.746
14:10:34:92;-1.513;-0.133;-0.418;1.575
14:10:34:111;-1.325;-0.141;-0.356;1.379
14:10:34:115;-1.134;-0.106;-0.250;1.166
14:10:34:127;-0.934;-0.059;-0.195;0.956
14:10:34:129;-0.723;-0.004;-0.199;0.750
14:10:34:147;-0.512;0.043;-0.223;0.560
14:10:34:167;-0.321;0.066;-0.199;0.383
14:10:34:186;-0.184;0.055;-0.125;0.229
14:10:34:197;-0.141;-0.027;0.023;0.145
14:10:34:207;-0.180;-0.141;0.125;0.260
14:10:34:227;-0.258;-0.293;0.059;0.395
14:10:34:236;-0.352;-0.450;-0.078;0.576
14:10:34:257;-0.532;-0.567;-0.145;0.790
14:10:34:267;-0.786;-0.657;-0.012;1.024
14:10:34:287;-1.059;-0.696;0.109;1.272
14:10:34:304;-1.274;-0.555;0.070;1.392
14:10:34:322;-1.368;-0.211;-0.004;1.384
14:10:34:344;-1.349;0.192;-0.063;1.364
14:10:34:362;-1.177;0.457;-0.109;1.267
14:10:34:371;-0.895;0.453;-0.125;1.011
14:10:34:379;-0.618;0.274;-0.133;0.688
14:10:34:401;-0.430;0.113;-0.070;0.450
14:10:34:422;-0.367;0.051;-0.023;0.372
14:10:34:427;-0.461;0.035;0.008;0.463
14:10:34:448;-0.641;-0.039;0.016;0.642
14:10:34:462;-0.829;-0.203;-0.074;0.856
14:10:34:481;-0.969;-0.438;-0.254;1.094
14:10:34:487;-1.118;-0.653;-0.461;1.374
14:10:34:508;-1.376;-0.766;-0.567;1.674
14:10:34:528;-1.700;-0.704;-0.625;1.944
14:10:34:541;-1.935;-0.551;-0.590;2.097
14:10:34:564;-1.865;-0.571;-0.473;2.006
14:10:34:572;-1.579;-0.633;-0.340;1.735
14:10:34:588;-1.337;-0.598;-0.297;1.494
14:10:34:601;-1.165;-0.469;-0.313;1.294
14:10:34:622;-1.008;-0.305;-0.313;1.099
14:10:34:638;-0.876;-0.160;-0.266;0.929
14:10:34:647;-0.774;-0.039;-0.211;0.803
14:10:34:668;-0.680;0.086;-0.180;0.709
14:10:34:681;-0.567;0.180;-0.172;0.619
14:10:34:701;-0.485;0.211;-0.113;0.541
14:10:34:708;-0.418;0.152;-0.051;0.448
14:10:34:727;-0.414;0.047;0.004;0.417
14:10:34:747;-0.536;-0.047;0.023;0.538
14:10:34:757;-0.743;-0.090;0.035;0.749
14:10:34:781;-0.958;-0.066;0.051;0.961
14:10:34:787;-1.130;-0.016;0.086;1.133
14:10:34:807;-1.220;0.031;0.145;1.229
14:10:34:822;-1.169;0.020;0.192;1.185
14:10:34:844;-1.008;-0.039;0.180;1.025
14:10:34:861;-0.790;-0.164;0.063;0.809
14:10:34:868;-0.559;-0.301;-0.125;0.647
14:10:34:887;-0.414;-0.438;-0.195;0.634
14:10:34:898;-0.426;-0.508;-0.145;0.679
14:10:34:922;-0.571;-0.536;-0.137;0.794
14:10:34:928;-0.809;-0.465;-0.231;0.961
14:10:34:947;-1.055;-0.281;-0.281;1.128
14:10:34:957;-1.216;-0.039;-0.340;1.263
14:10:34:981;-1.321;0.164;-0.364;1.380
14:10:35:215;-1.474;0.285;-0.360;1.544
14:10:35:219;-1.646;0.278;-0.399;1.716
14:10:35:229;-1.751;0.090;-0.379;1.794
14:10:35:231;-1.712;-0.113;-0.274;1.738
14:10:35:233;-1.521;-0.242;-0.211;1.554
14:10:35:246;-1.263;-0.262;-0.231;1.310
14:10:35:260;-1.008;-0.215;-0.238;1.058
14:10:35:262;-0.797;-0.172;-0.203;0.841
14:10:35:263;-0.653;-0.149;-0.152;0.687
14:10:35:265;-0.571;-0.149;-0.121;0.602
14:10:35:269;-0.543;-0.160;-0.102;0.576
14:10:35:271;-0.579;-0.172;-0.109;0.613
14:10:35:272;-0.657;-0.180;-0.098;0.688
14:10:35:273;-0.743;-0.195;-0.059;0.770
14:10:35:275;-0.813;-0.223;-0.043;0.844
14:10:35:283;-0.868;-0.211;-0.043;0.894
14:10:35:284;-0.907;-0.184;-0.051;0.927
14:10:35:287;-0.915;-0.180;-0.066;0.935
14:10:35:288;-0.903;-0.211;-0.090;0.932
14:10:35:290;-0.895;-0.246;-0.113;0.935
14:10:35:306;-0.883;-0.258;-0.156;0.933
14:10:35:326;-0.868;-0.238;-0.184;0.919
14:10:35:336;-0.848;-0.195;-0.184;0.890
14:10:35:350;-0.825;-0.145;-0.184;0.857
14:10:35:368;-0.805;-0.082;-0.184;0.830
14:10:35:387;-0.801;-0.020;-0.199;0.826
14:10:35:397;-0.829;0.000;-0.219;0.857
14:10:35:422;-0.876;-0.047;-0.266;0.916
14:10:35:441;-0.934;-0.192;-0.332;1.010
14:10:35:447;-1.005;-0.418;-0.383;1.154
14:10:35:468;-1.091;-0.633;-0.434;1.334
14:10:35:477;-1.223;-0.723;-0.485;1.502
14:10:35:501;-1.384;-0.598;-0.508;1.591
14:10:35:510;-1.462;-0.379;-0.493;1.589
14:10:35:528;-1.395;-0.219;-0.434;1.478
14:10:35:541;-1.235;-0.133;-0.356;1.292
14:10:35:557;-1.032;-0.102;-0.305;1.081
14:10:35:577;-0.840;-0.098;-0.254;0.883
14:10:35:587;-0.696;-0.086;-0.223;0.736
14:10:35:607;-0.618;-0.063;-0.192;0.650
14:10:35:624;-0.602;-0.016;-0.149;0.620
14:10:35:641;-0.645;0.051;-0.094;0.654
14:10:35:647;-0.727;0.102;-0.047;0.736
14:10:35:668;-0.813;0.133;-0.027;0.824
14:10:35:687;-0.895;0.149;-0.047;0.909
14:10:35:697;-0.962;0.137;-0.113;0.978
14:10:35:722;-1.012;0.082;-0.184;1.032
14:10:35:727;-1.044;-0.004;-0.180;1.059
14:10:35:748;-1.083;-0.074;-0.219;1.107
14:10:35:786;-1.024;-0.215;-0.223;1.070
14:10:35:802;-1.059;-0.184;-0.246;1.103
14:10:35:807;-1.102;-0.160;-0.266;1.145
14:10:35:823;-1.055;-0.094;-0.258;1.091
14:10:35:827;-1.012;-0.047;-0.250;1.044
14:10:35:843;-0.958;-0.031;-0.227;0.985
14:10:35:857;-0.891;-0.070;-0.223;0.921
14:10:35:867;-0.852;-0.133;-0.215;0.889
14:10:35:888;-0.864;-0.164;-0.207;0.903
14:10:35:906;-0.883;-0.164;-0.215;0.924
14:10:35:917;-0.868;-0.129;-0.266;0.917
14:10:35:936;-0.907;-0.102;-0.258;0.948
14:10:35:950;-0.977;-0.156;-0.106;0.995
14:10:35:968;-0.997;-0.137;-0.160;1.019
14:10:35:977;-0.989;-0.152;-0.203;1.021
14:10:36:1;-0.942;-0.188;-0.207;0.983
14:10:36:22;-0.903;-0.164;-0.250;0.951
14:10:36:27;-0.942;-0.129;-0.242;0.981
14:10:36:48;-0.962;-0.078;-0.235;0.993
14:10:36:57;-0.942;-0.027;-0.293;0.987
14:10:36:77;-0.923;-0.039;-0.321;0.977
14:10:36:87;-0.934;-0.133;-0.270;0.981
14:10:36:107;-0.958;-0.215;-0.254;1.014
14:10:36:124;-0.930;-0.235;-0.324;1.013
14:10:36:137;-0.840;-0.188;-0.414;0.956
14:10:36:157;-0.770;-0.121;-0.414;0.883
14:10:36:168;-0.786;-0.102;-0.336;0.861
14:10:36:187;-0.872;-0.125;-0.258;0.918
14:10:36:197;-0.962;-0.156;-0.238;1.003
14:10:36:222;-1.044;-0.180;-0.238;1.086
14:10:36:227;-1.106;-0.203;-0.192;1.141
14:10:36:248;-1.122;-0.227;-0.145;1.154
14:10:36:268;-1.055;-0.211;-0.168;1.089
14:10:36:277;-0.954;-0.192;-0.246;1.003
14:10:36:301;-0.891;-0.203;-0.274;0.954
14:10:36:308;-0.887;-0.227;-0.231;0.944
14:10:36:328;-0.919;-0.235;-0.207;0.970
14:10:36:341;-0.954;-0.223;-0.231;1.006
14:10:36:356;-0.962;-0.188;-0.285;1.020
14:10:36:377;-0.946;-0.160;-0.321;1.012
14:10:36:386;-0.923;-0.149;-0.332;0.992
14:10:36:406;-0.915;-0.152;-0.317;0.980
14:10:36:417;-0.923;-0.152;-0.321;0.988
14:10:36:437;-0.930;-0.145;-0.352;1.005
14:10:36:452;-0.926;-0.133;-0.375;1.008
14:10:36:468;-0.903;-0.125;-0.379;0.987
14:10:36:487;-0.876;-0.121;-0.391;0.967
14:10:36:497;-0.856;-0.117;-0.391;0.948
14:10:36:522;-0.848;-0.113;-0.379;0.936
14:10:36:527;-0.848;-0.117;-0.379;0.936
14:10:36:547;-0.852;-0.137;-0.371;0.940
14:10:36:763;-0.876;-0.160;-0.371;0.964
14:10:36:767;-0.899;-0.176;-0.360;0.984
14:10:36:768;-0.915;-0.160;-0.332;0.986
14:10:36:770;-0.915;-0.133;-0.328;0.981
14:10:36:771;-0.915;-0.109;-0.340;0.982
14:10:36:773;-0.923;-0.098;-0.336;0.987
14:10:36:774;-0.926;-0.102;-0.336;0.991
14:10:36:776;-0.926;-0.106;-0.348;0.995
14:10:36:779;-0.926;-0.106;-0.356;0.998
14:10:36:781;-0.919;-0.106;-0.360;0.992
14:10:36:782;-0.911;-0.106;-0.367;0.988
14:10:36:784;-0.907;-0.106;-0.379;0.989
14:10:36:786;-0.911;-0.106;-0.379;0.992
14:10:36:787;-0.907;-0.102;-0.379;0.988
14:10:36:796;-0.899;-0.086;-0.379;0.980
14:10:36:806;-0.895;-0.090;-0.379;0.976
14:10:36:826;-0.895;-0.094;-0.387;0.980
14:10:36:843;-0.895;-0.094;-0.399;0.984
14:10:36:857;-0.891;-0.090;-0.403;0.982
14:10:36:884;-0.891;-0.094;-0.407;0.984
14:10:36:907;-0.891;-0.098;-0.403;0.983
14:10:36:922;-0.895;-0.102;-0.399;0.985
14:10:36:937;-0.895;-0.106;-0.403;0.987
14:10:36:957;-0.891;-0.109;-0.403;0.984
14:10:36:968;-0.899;-0.113;-0.395;0.988
14:10:36:988;-0.907;-0.121;-0.387;0.993
14:10:36:997;-0.907;-0.113;-0.379;0.989
14:10:37:22;-0.907;-0.113;-0.371;0.986
14:10:37:27;-0.899;-0.117;-0.360;0.975
14:10:37:47;-0.899;-0.121;-0.352;0.973
14:10:37:68;-0.907;-0.125;-0.352;0.981
14:10:37:82;-0.915;-0.125;-0.360;0.991
14:10:37:97;-0.919;-0.125;-0.367;0.997
14:10:37:107;-0.923;-0.113;-0.375;1.002
14:10:37:127;-0.919;-0.106;-0.379;0.999
14:10:37:137;-0.915;-0.098;-0.375;0.993
14:10:37:157;-0.915;-0.109;-0.352;0.986
14:10:37:177;-0.907;-0.125;-0.340;0.977
14:10:37:188;-0.891;-0.137;-0.352;0.968
14:10:37:207;-0.864;-0.141;-0.383;0.955
14:10:37:226;-0.844;-0.129;-0.414;0.949
14:10:37:237;-0.844;-0.117;-0.430;0.955
14:10:37:248;-0.864;-0.109;-0.430;0.971
14:10:37:269;-0.891;-0.109;-0.422;0.992
14:10:37:277;-0.919;-0.113;-0.403;1.009
14:10:37:297;-0.930;-0.121;-0.375;1.010
14:10:37:322;-0.926;-0.129;-0.360;1.002
14:10:37:327;-0.919;-0.129;-0.348;0.991
14:10:37:347;-0.907;-0.121;-0.348;0.979
14:10:37:357;-0.911;-0.113;-0.352;0.983
14:10:37:417;-0.919;-0.113;-0.352;0.990
14:10:37:423;-0.926;-0.117;-0.360;1.001
14:10:37:447;-0.926;-0.121;-0.367;1.004
14:10:37:448;-0.911;-0.121;-0.383;0.995
14:10:37:457;-0.895;-0.121;-0.391;0.984
14:10:37:467;-0.899;-0.125;-0.383;0.985
14:10:37:469;-0.907;-0.125;-0.375;0.989
14:10:37:487;-0.903;-0.125;-0.375;0.986
14:10:37:497;-0.899;-0.129;-0.375;0.983
14:10:37:518;-0.911;-0.133;-0.371;0.993
14:10:37:537;-0.919;-0.133;-0.367;0.998
14:10:37:546;-0.923;-0.125;-0.364;0.999
14:10:37:567;-0.919;-0.117;-0.356;0.992
14:10:37:576;-0.915;-0.121;-0.356;0.989
14:10:37:602;-0.923;-0.133;-0.348;0.995
14:10:37:607;-0.934;-0.137;-0.340;1.004
14:10:37:627;-0.930;-0.133;-0.340;0.999
14:10:37:647;-0.923;-0.129;-0.344;0.993
14:10:37:657;-0.907;-0.133;-0.332;0.975
14:10:37:677;-0.883;-0.129;-0.344;0.957
14:10:37:687;-0.856;-0.109;-0.387;0.946
14:10:37:707;-0.848;-0.094;-0.403;0.944
14:10:37:722;-0.864;-0.098;-0.403;0.958
14:10:37:738;-0.895;-0.113;-0.395;0.985
14:10:37:757;-0.915;-0.125;-0.387;1.001
14:10:37:768;-0.919;-0.133;-0.371;1.000
14:10:37:787;-0.911;-0.129;-0.356;0.986
14:10:37:798;-0.907;-0.121;-0.352;0.980
14:10:37:822;-0.911;-0.113;-0.348;0.982
14:10:37:827;-0.923;-0.113;-0.344;0.991
14:10:37:847;-0.926;-0.117;-0.348;0.997
14:10:37:857;-0.919;-0.121;-0.364;0.995
14:10:37:877;-0.915;-0.125;-0.367;0.994
14:10:37:897;-0.923;-0.117;-0.360;0.997
14:10:37:907;-0.903;-0.086;-0.395;0.989
14:10:37:927;-0.899;-0.066;-0.399;0.986
14:10:37:937;-0.981;-0.188;-0.246;1.029
14:10:37:957;-1.067;-0.281;-0.258;1.133
14:10:37:968;-1.063;-0.235;-0.289;1.127
14:10:37:987;-0.821;-0.262;-0.453;0.974
14:10:38:7;-0.727;-0.188;-0.528;0.918
14:10:38:22;-0.852;-0.023;-0.461;0.969
14:10:38:37;-1.005;0.070;-0.344;1.064
14:10:38:47;-0.993;0.066;-0.254;1.027
14:10:38:68;-0.919;0.188;-0.262;0.973
14:10:38:77;-0.876;0.031;-0.258;0.913
14:10:38:97;-0.844;-0.137;-0.242;0.889
14:10:38:122;-0.856;-0.207;-0.274;0.922
14:10:38:127;-0.926;-0.199;-0.266;0.984
14:10:38:147;-1.008;-0.129;-0.242;1.045
14:10:38:363;-1.051;-0.078;-0.231;1.079
14:10:38:365;-1.032;-0.066;-0.250;1.064
14:10:38:368;-0.981;-0.094;-0.297;1.029
14:10:38:370;-0.934;-0.129;-0.340;1.003
14:10:38:372;-0.895;-0.141;-0.367;0.978
14:10:38:373;-0.872;-0.117;-0.379;0.958
14:10:38:374;-0.872;-0.094;-0.375;0.954
14:10:38:377;-0.887;-0.086;-0.371;0.966
14:10:38:380;-0.891;-0.102;-0.379;0.974
14:10:38:381;-0.887;-0.113;-0.399;0.979
14:10:38:383;-0.880;-0.117;-0.410;0.978
14:10:38:385;-0.876;-0.113;-0.410;0.974
14:10:38:387;-0.872;-0.113;-0.395;0.964
14:10:38:388;-0.876;-0.133;-0.375;0.962
14:10:38:390;-0.887;-0.164;-0.375;0.977
14:10:38:396;-0.911;-0.180;-0.360;0.996
14:10:38:406;-0.923;-0.184;-0.344;1.002
14:10:38:426;-0.923;-0.172;-0.344;0.999
14:10:38:437;-0.907;-0.149;-0.371;0.991
14:10:38:457;-0.880;-0.125;-0.399;0.974
14:10:38:477;-0.860;-0.109;-0.410;0.959
14:10:38:490;-0.868;-0.106;-0.407;0.964
14:10:38:522;-0.899;-0.117;-0.387;0.986
14:10:38:527;-0.911;-0.125;-0.379;0.994
