time;x;y;z;gforce
14:09:00:800;0.027;0.266;0.973;1.009
14:09:00:811;0.035;0.262;0.985;1.020
14:09:00:840;0.066;0.274;1.008;1.047
14:09:00:844;0.098;0.321;1.012;1.066
14:09:00:861;0.106;0.336;0.942;1.006
14:09:00:870;0.063;0.262;0.934;0.972
14:09:00:892;0.047;0.274;0.942;0.982
14:09:00:910;0.043;0.246;0.958;0.990
14:09:00:920;0.043;0.235;0.969;0.998
14:09:00:941;0.039;0.246;0.981;1.012
14:09:00:961;0.039;0.246;1.008;1.039
14:09:00:969;0.027;0.238;1.008;1.037
14:09:00:990;0.020;0.254;0.977;1.010
14:09:00:999;0.020;0.254;0.973;1.006
14:09:01:20;0.023;0.266;0.969;1.005
14:09:01:29;0.039;0.266;0.981;1.017
14:09:01:51;0.043;0.270;1.005;1.041
14:09:01:59;0.043;0.278;1.008;1.047
14:09:01:80;0.047;0.285;0.981;1.023
14:09:01:89;0.055;0.297;0.942;0.989
14:09:01:131;0.074;0.317;0.821;0.883
14:09:01:133;0.133;0.328;0.911;0.977
14:09:01:137;0.113;0.317;0.973;1.030
14:09:01:157;0.078;0.297;0.997;1.043
14:09:01:191;0.066;0.285;0.993;1.035
14:09:01:193;0.043;0.266;0.977;1.014
14:09:01:197;0.063;0.285;1.005;1.046
14:09:01:315;0.082;0.305;1.016;1.064
14:09:01:317;0.070;0.313;0.942;0.995
14:09:01:318;0.066;0.297;0.930;0.979
14:09:01:320;0.063;0.293;0.938;0.985
14:09:01:321;0.051;0.278;0.954;0.995
14:09:01:333;0.031;0.270;0.985;1.022
14:09:01:334;0.023;0.270;0.985;1.022
14:09:01:335;0.012;0.270;0.969;1.006
14:09:01:346;-0.008;0.246;0.950;0.981
14:09:01:357;-0.020;0.227;0.954;0.981
14:09:01:377;-0.023;0.219;0.969;0.994
14:09:01:387;-0.023;0.211;0.969;0.992
14:09:01:407;-0.023;0.211;0.973;0.996
14:09:01:417;-0.020;0.219;0.989;1.013
14:09:01:437;-0.023;0.215;0.985;1.009
14:09:01:457;-0.020;0.219;0.969;0.994
14:09:01:467;-0.012;0.227;0.965;0.992
14:09:01:486;-0.004;0.235;0.965;0.994
14:09:01:496;0.008;0.242;0.969;0.999
14:09:01:516;0.020;0.254;0.985;1.017
14:09:01:526;0.027;0.258;0.993;1.026
14:09:01:546;0.020;0.254;0.989;1.021
14:09:01:566;0.020;0.258;0.989;1.022
14:09:01:596;0.020;0.258;0.985;1.018
14:09:01:607;0.023;0.262;0.981;1.016
14:09:01:627;0.027;0.262;0.981;1.016
14:09:01:638;0.027;0.254;0.981;1.014
14:09:01:657;0.027;0.250;0.977;1.009
